Seq,PassOrFail,Injection_Time,Filling_Time,Plasticizing_Time,Plasticizing_Position,Max_Injection_Speed,Max_Screw_RPM,Max_Switch_Over_Pressure,Max_Back_Pressure,Hopper_Temperature
7819,1,9.979999542,4.869999886,16.53000069,68.61000061,49.40000153,30.70000076,139,50.59999847,65
1525,1,10.33882353,5.22882367,16.65242251,68.59733676,47.71141882,30.86885887,140.5619377,59.59170266,64.49342487
250,0,9.520000458,4.409999847,17.03000069,68.48999786,56.29999924,31.10000038,136,38,68.59999847
7352,0,9.569999695,4.460000038,16.54000092,68.33000183,55.09999847,30.70000076,136.5,37.90000153,65.90000153
368,0,9.609999657,4.489999771,16.59000015,68.33000183,54.90000153,30.70000076,137.1000061,38.40000153,65.40000153
6167,0,9.56000042,4.440000057,16.61000061,68.33999634,55.29999924,30.60000038,136.3000031,37.70000076,66
2574,0,9.529999733,4.409999847,16.79999924,68.25,55.79999924,30.60000038,136.3000031,37.79999924,66.90000153
2204,0,9.579999924,4.46999979,16.84000015,68.59999847,55.59999847,30.70000076,136.6000061,37.70000076,66.5
7833,1,9.699999809,4.579999924,16.46999931,68.58999634,53.29999924,30.5,137.3999939,38.59999847,64.5
4578,1,1.059999943,0.939999998,12.92082802,53.5897932,128,30.89792974,116.6979271,56.40207136,63.22690904
1381,1,1.070000052,0.943537387,13.13353759,53.61061157,127.329252,30.8353733,118.735373,57.60612152,62.9891125
3858,0,9.520000458,4.400000095,17.07999992,68.48000336,56.40000153,30.79999924,136,37.79999924,69.5
3120,1,10.82999992,5.71999979,16.81999969,68.58000183,45.40000153,31.10000038,142.6999969,71.90000153,63.79999924
2330,1,9.449999809,4.329999924,16.93000031,68.83999634,60.90000153,30.89999962,136.8999939,36.29999924,67
1186,1,1.059999943,0.930000007,12.94214451,53.56276897,128.3276811,30.82767991,116.1446367,55.70000076,66.05536029
1775,0,9.579999924,4.46999979,16.88999939,68.58000183,55.59999847,30.79999924,136.6000061,37.59999847,67.69999695
6837,1,9.443419399,4.329999924,16.92341989,68.85315967,60.83419742,30.76839518,136.9658005,36.43160493,67
5130,0,9.539999962,4.420000076,16.79999924,68.25,55.70000076,30.5,136.6000061,37.70000076,67.09999847
3113,1,9.569999695,4.460000038,16.91550871,68.84224245,55.5,30.65508793,136.5775484,37.26736958,67.2796498
5679,1,1.080000043,0.949999988,13.15524684,53.61999893,127.1262336,30.89999962,119.0737634,57.90000153,64.43764294
5050,1,13.39000034,8.270000458,16.64999962,68.58999634,38.5,30.79999924,146.6999969,38.09999847,64.40000153
1997,1,9.449999809,4.329999924,16.93000031,68.83999634,60.90000153,30.89999962,136.8999939,36.29999924,67
236,1,10.89958828,5.783498489,16.66398006,68.59781803,46.78130367,30.57820048,142.1667933,46.39790629,64.57370251
4338,0,9.600000381,4.480000019,16.80999947,68.58999634,55.29999924,30.39999962,136.6999969,37.70000076,66.19999695
4347,0,9.579999924,4.460000038,16.92000008,68.83999634,55.5,31,136.5,37.09999847,67
610,0,9.56000042,4.449999809,16.57999992,68.33999634,55.29999924,30.89999962,136.1000061,38,65.19999695
3763,1,1.059999943,0.939999998,12.89832253,53.59000015,128.1000061,30.89999962,116.4503171,56.13354285,64.6838591
5546,1,9.441318983,4.329999924,16.92527743,68.8573613,60.78680571,30.71319429,136.973613,36.57916214,67.13193724
549,0,9.590000153,4.46999979,16.59000015,68.33999634,55.09999847,30.70000076,136.8999939,38.40000153,66.09999847
184,1,1.059999943,0.930000007,12.92206791,53.58000183,128.3000031,30.72067951,115.9413594,55.62067742,66.68626864
1247,1,1.059999943,0.930000007,12.95964889,53.58982461,128.3017586,30.80351065,115.9964887,55.99824433,65.99824433
5452,0,1.059999943,0.930000007,12.89000034,53.59999847,128.1999969,30.79999924,116.3000031,55.79999924,64.30000305
5298,0,9.539999962,4.429999828,17.14999962,68.48000336,56.09999847,30.79999924,136.6000061,38.29999924,70.30000305
6920,0,9.619999886,4.5,16.87999916,68.59999847,55.20000076,30.60000038,137.3000031,38.09999847,67
76,0,1.059999943,0.930000007,12.97000027,53.56999969,128.3999939,30.79999924,116,56,66.59999847
3187,1,9.447792157,4.329999924,16.92779265,68.84441248,60.87792501,30.85584784,136.9220713,36.34415143,67
349,0,9.539999962,4.420000076,16.84000015,68.25,55.70000076,30.5,136.1999969,37.59999847,67.09999847
6008,0,9.520000458,4.409999847,17.06999969,68.48000336,56.29999924,30.89999962,136.3000031,37.79999924,68.19999695
3828,1,13.39000034,8.270000458,16.64999962,68.58999634,38.5,30.79999924,146.6999969,38.09999847,64.40000153
1310,1,13.39000034,8.270000458,16.64999962,68.58999634,38.5,30.79999924,146.6999969,38.09999847,64.40000153
5473,1,1.059999943,0.939999998,12.91073398,53.57214702,128.3000031,30.79999924,116.2785331,55.96440726,66.06440655
702,0,1.059999943,0.930000007,12.92000008,53.59000015,128.3000031,30.89999962,115.9000015,55.59999847,65.90000153
1690,0,9.520000458,4.400000095,16.84000015,68.25,56,30.89999962,135.8000031,37.40000153,67.09999847
1210,1,13.39000034,8.270000458,16.64999962,68.58999634,38.5,30.79999924,146.6999969,38.09999847,64.40000153
7845,0,1.080000043,0.949999988,13.11999989,53.59999847,127.0999985,30.79999924,119.3000031,58.20000076,64
3871,1,1.070000052,0.948644778,13.1386451,53.62593508,127.2271018,30.88644746,118.7728982,57.79999924,63.80841754
1273,0,9.520000458,4.409999847,16.81999969,68.26000214,55.79999924,30.5,136.1999969,37.70000076,67
1675,0,9.609999657,4.5,16.84000015,68.58999634,55.20000076,30.39999962,136.8000031,37.79999924,68.09999847
5971,1,1.059999943,0.937985135,12.92014834,53.56999969,128.3201499,30.82014796,116.2395565,55.85970408,66.04029668
1794,0,9.609999657,4.489999771,16.78000069,68.58999634,55.20000076,30.89999962,136.6999969,38.20000076,63.70000076
766,0,9.569999695,4.460000038,16.57999992,68.34999847,55.20000076,30.70000076,136.3000031,37.90000153,65.40000153
